dataset,sampling_policy,comparison,model,epsilon,N,alpha0,lambda_l1,lmaj_factor,te_robust_loss_mean,te_robust_loss_std,te_cvar_loss_mean,te_cvar_loss_std,te_clean_loss_mean,te_clean_loss_std,val_robust_loss_mean,val_robust_loss_std,val_cvar_loss_mean,val_cvar_loss_std,val_clean_loss_mean,val_clean_loss_std,runtime_sec_mean,runtime_sec_std,stationarity_proxy_mean,stationarity_proxy_std,actual_update_count_mean,actual_update_count_std
breast,clean,erm_clean_path,erm,0.15,1,0.015,0.0,,0.3158730337990748,0.045366793747390305,2.536774732577018,0.39174325813588234,0.10944386632848076,0.030385782823745478,0.3029318523767719,0.056291494610126475,2.555134005902639,0.40376058027194245,0.11086848335688626,0.03298758922703498,0.11837677955627438,0.007065247110623335,0.0627597843433024,0.0030031824370620416,600.0,0.0
breast,uniform_iid_nested,final_path,direct,0.15,1,0.0075,0.001,,0.3337343694669145,0.03308621736265124,2.0572072258403358,0.17823507315855094,0.1452854255810756,0.029271545690280343,0.32380379794306047,0.06930539996653884,2.0800345685746917,0.3590702551631942,0.14508671573268556,0.026875675651852185,0.1510601997375488,0.007899059276313966,0.10384890843700165,0.011735170176242322,600.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.15,1,0.004,0.003,1.01,0.3376407068562462,0.025404613000864894,1.7437975665436372,0.13260827135188333,0.17973520206574436,0.025590437913415205,0.3290450955350033,0.058385144266178836,1.7713476798092664,0.31708394286334646,0.17926094236539808,0.023756317799999777,0.305241584777832,0.025642016042981948,0.1623539466111676,0.015285911460396873,600.0,0.0
breast,clean,erm_clean_path,erm,0.15,2,0.015,0.0,,0.33471286194044436,0.05881976469715468,2.991857082307088,0.4737163115275451,0.09387777930215499,0.03452812509004464,0.3185794630492662,0.06218192507760574,3.042318477282936,0.49476295526051295,0.09640221014247397,0.035746556121898074,0.2407551765441894,0.015935112227305415,0.03682201304587142,0.00259278351774591,1200.0,0.0
breast,uniform_iid_nested,final_path,direct,0.15,2,0.01,0.001,,0.3581024444105968,0.03600222907661912,2.623488866420786,0.21989761038493952,0.1127871221323308,0.03393707241792105,0.3542988157804495,0.07761021411261584,2.675576810413621,0.527253191476538,0.1153378183826272,0.032336236400301845,0.20131936073303222,0.01199994467086672,0.05099176586739348,0.005757619692484976,1200.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.15,2,0.004,0.003,1.5,0.3330104790298628,0.029333498246993574,2.070684778883674,0.1362915752739586,0.14384885724542817,0.028423495340089408,0.3232750490866453,0.07382365398277568,2.1260207927378674,0.42853573197576544,0.1447612223658304,0.028552810419486478,0.5224541664123535,0.05536467721477156,0.09869121969271741,0.010004454788281063,1200.0,0.0
breast,clean,erm_clean_path,erm,0.15,4,0.015,0.0,,0.34949756301676543,0.0684933622994986,3.2733559288653082,0.5366530275436021,0.08775964623594475,0.037734742983288744,0.33414766574550425,0.06594254083179381,3.349107587584831,0.5547613081829982,0.0908292148083005,0.0380165855328153,0.3553225040435791,0.021585833306502565,0.02713920705134416,0.002217289817499895,1800.0,0.0
breast,uniform_iid_nested,final_path,direct,0.15,4,0.005,0.0001,,0.33539850467450527,0.05015954889167008,2.3319421850857767,0.2909342016319494,0.1243749670674739,0.03146937600115415,0.3276131082733864,0.08354506609688876,2.399466377012734,0.5376416925732231,0.12742873518247205,0.03132870932569393,0.3097358703613281,0.02140804758453439,0.0954066863590793,0.014509141947804288,1800.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.15,4,0.0025,0.0001,1.01,0.3264662612810908,0.04416349975533251,1.9598727388527037,0.2218185891789865,0.15326338582339372,0.027199131088821334,0.3185750420438261,0.07529930811350326,2.0115921139848902,0.4444177847579992,0.15424700403953043,0.02840624805203785,0.8883934497833252,0.058115048639074136,0.15052401094399492,0.01943981002112676,1800.0,0.0
breast,clean,erm_clean_path,erm,0.15,8,0.015,0.0,,0.3616830589120461,0.07561131916144072,3.4746334067548,0.5891401765964235,0.08448495607458692,0.040468024193397074,0.3457399519219411,0.0693640590208678,3.574070068819256,0.6055248872368231,0.08786502136433633,0.04011891629326393,0.4798903465270996,0.023335562925731183,0.02195583078103824,0.0019256693744514274,2400.0,0.0
breast,uniform_iid_nested,final_path,direct,0.15,8,0.005,0.001,,0.3297448109931364,0.05125061702903486,2.332866597790648,0.3290536267884407,0.12232325788950879,0.03179576489891781,0.3224803773863684,0.0851645672277326,2.3893482405714286,0.5632278366764925,0.12518045747657036,0.032133362410229356,0.5211105823516846,0.05971755362407338,0.07914982828840048,0.011321720619250087,2400.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.15,8,0.0025,0.003,1.01,0.3219429329725125,0.04548624293561227,1.9581038422082688,0.25505864154462005,0.15121417346515403,0.027441357485613587,0.31398834747034327,0.07638876198921715,2.0060161404830574,0.4537110584354568,0.15242322744933684,0.028953232358088967,1.6174507141113281,0.11220635688305215,0.12129325197772234,0.018382055598352497,2400.0,0.0
breast,clean,erm_clean_path,erm,0.15,16,0.015,0.0,,0.37203708230562843,0.0813877421332841,3.6298866510030394,0.635796702007581,0.08250207299257324,0.0428662261861147,0.354819425693385,0.07236881618508079,3.752782575339708,0.6547029723035566,0.08606616605274706,0.04210242705745165,0.6028282642364502,0.027244622057791847,0.018682779826449662,0.001692843345776381,3000.0,0.0
breast,uniform_iid_nested,final_path,direct,0.15,16,0.005,0.001,,0.31452700703923164,0.049836436678469306,2.300805238139283,0.3426020315139215,0.1200246380072876,0.03186820574992167,0.3065231151473289,0.08122470881019091,2.3529366845741517,0.5670918876854917,0.12283972781030597,0.03158995477586777,0.9589385986328125,0.06369879491389191,0.10010594257120116,0.048506159729570876,3000.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.15,16,0.0025,0.003,1.01,0.3130710846670022,0.04451193638940794,1.9522893592884436,0.26779164402100325,0.1479930130841,0.02756155729035072,0.30503788994788117,0.07453614403951424,2.001423806015512,0.45617550333163964,0.14953314602350543,0.028780282400502774,3.1765361785888673,0.25276065496410854,0.13765230455695376,0.03647808711877513,3000.0,0.0
breast,clean,erm_clean_path,erm,0.15,64,0.015,0.0,,0.38067530938472716,0.08664537047151796,3.756474323562139,0.6795085680168435,0.08123150415651323,0.04500513513431161,0.3622226403964565,0.07499462054852656,3.9001159870476307,0.7021348781963542,0.08490283007523626,0.043975017919693396,0.7160664558410644,0.024359398489629824,0.01640702778693748,0.0015017928732445015,3600.0,0.0
breast,uniform_iid_nested,final_path,direct,0.15,64,0.005,0.001,,0.30164079324209037,0.05333199962524683,2.2837251710298183,0.37130766427382234,0.11930428578306262,0.03279653996130372,0.2973332083583305,0.08201599964416936,2.3325466189744737,0.5880204248356223,0.12190755091822023,0.03167908502416959,3.658839750289917,0.35371689181535304,0.16927222134551656,0.032858983769231735,3600.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.15,64,0.008,0.001,0.75,0.29725495752845316,0.045869915135121446,1.9658563134706282,0.3064528433233373,0.14314206693958093,0.02884766454648815,0.2910549433458067,0.0750567876088848,2.0094151138439083,0.47861977461744365,0.14483783206748385,0.02917792109535887,12.984276151657104,1.2883093638495982,0.15839641731312243,0.03800557531177282,3600.0,0.0
breast,clean,erm_clean_path,erm,0.15,256,0.015,0.0,,0.3880741557351147,0.0915411439675051,3.863825875709998,0.7213983728774186,0.08040055112837166,0.046936620942792155,0.3698547833858145,0.07798441712070359,4.025660696737114,0.7490854510984839,0.08413050568918841,0.0457401824054948,0.8315344333648682,0.02186043220839378,0.01472146644224038,0.0013419195459094904,4200.0,0.0
breast,uniform_iid_nested,final_path,direct,0.15,256,0.005,0.001,,0.28487631816701564,0.04342644716879636,2.2004008947170353,0.3373558021634251,0.1182329058959202,0.03247105512283938,0.2790260315227942,0.06857837392245933,2.2352317953565555,0.5153646280323496,0.12006673465050485,0.029539234811061948,15.19381947517395,1.3200095139549928,0.21911267781858976,0.09652254314655524,4200.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.15,256,0.008,0.001,0.75,0.2690488126925497,0.032941340415644664,1.8484748839661378,0.2656413198589148,0.14015261471827392,0.028945038512101756,0.26243602517745435,0.05329300647132328,1.8624137071133546,0.35288948582594837,0.14091432223332753,0.02617366284993326,57.54326319694519,3.8783362746467365,0.21530493178227186,0.07266266394182704,4200.0,0.0
