dataset,model,epsilon,N,alpha0,lambda_l1,lmaj_factor,total_updates,sampling_policy,selection_label
parkinsons,erm,,,0.005,0.0,,3500,clean,final_selected
parkinsons,direct,0.15,1,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.15,1,0.012,0.06,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.15,2,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.15,2,0.012,0.06,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.15,4,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.15,4,0.012,0.06,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.15,8,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.15,8,0.012,0.06,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.15,16,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.15,16,0.012,0.06,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.15,64,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.15,64,0.012,0.06,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.15,256,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.15,256,0.012,0.06,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.25,1,0.003,0.001,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.25,1,0.012,0.04,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.25,2,0.003,0.001,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.25,2,0.012,0.04,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.25,4,0.003,0.001,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.25,4,0.012,0.04,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.25,8,0.003,0.001,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.25,8,0.012,0.04,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.25,16,0.003,0.001,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.25,16,0.012,0.04,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.25,64,0.003,0.001,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.25,64,0.012,0.04,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.25,256,0.003,0.001,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.25,256,0.012,0.04,1.5,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.35,1,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.35,1,0.018,0.04,1.01,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.35,2,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.35,2,0.018,0.04,1.01,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.35,4,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.35,4,0.018,0.04,1.01,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.35,8,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.35,8,0.018,0.04,1.01,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.35,16,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.35,16,0.018,0.04,1.01,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.35,64,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.35,64,0.018,0.04,1.01,3500,uniform_iid_nested,final_selected
parkinsons,direct,0.35,256,0.003,0.01,,3500,uniform_iid_nested,final_selected
parkinsons,majorant,0.35,256,0.024,0.15,0.75,3500,uniform_iid_nested,final_selected
