dataset,sampling_policy,comparison,model,epsilon,N,alpha0,lambda_l1,lmaj_factor,te_robust_loss_mean,te_robust_loss_std,te_cvar_loss_mean,te_cvar_loss_std,te_clean_loss_mean,te_clean_loss_std,val_robust_loss_mean,val_robust_loss_std,val_cvar_loss_mean,val_cvar_loss_std,val_clean_loss_mean,val_clean_loss_std,runtime_sec_mean,runtime_sec_std,stationarity_proxy_mean,stationarity_proxy_std,actual_update_count_mean,actual_update_count_std
parkinsons,clean,erm_clean_path,erm,0.15,1,0.005,0.0,,0.5850902767176583,0.1272582488138509,1.416994582942938,0.23089314954965134,0.4491843214488317,0.0967541767039801,0.6855288568603941,0.11745211122835218,1.4984236216752187,0.2705748060459677,0.5074175913617516,0.09431811077987381,0.08298432826995848,0.011452203049181937,0.19901033940883417,0.0075029440828126275,500.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.15,1,0.003,0.01,,0.8086245159481482,0.1893918474815857,1.8757847240001029,0.3321837548032936,0.49745574797712255,0.11958115596966948,0.9488839010252321,0.2000353476501417,1.8369930584467287,0.30965579786505393,0.5498071259921006,0.08753501003783028,0.1113832592964172,0.0020335441797048478,0.21866619769776766,0.010210993675272879,500.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.15,1,0.012,0.06,1.5,0.7137346822209287,0.06720228729790932,1.8248129170717275,0.3108761507898926,0.443877523644104,0.056178091003227903,0.8997204475466986,0.25983461155612525,1.91393039251,0.1956760055092817,0.5225609830214752,0.10387240110131356,0.20933163166046137,0.0040107517949273495,0.17251289846200848,0.03692389205435544,500.0,0.0
parkinsons,clean,erm_clean_path,erm,0.15,2,0.005,0.0,,0.5667196929286176,0.13132623758786557,1.7110970995894277,0.0962141409970968,0.4241769632096403,0.09127559926245438,0.6800242462034041,0.1413188547240213,1.7801173129094265,0.1919448166638232,0.4754689265373762,0.09297652671089078,0.16617500782012934,0.01231090947192957,0.13680327553186075,0.005308310362755938,1000.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.15,2,0.003,0.01,,0.7992637134903653,0.32592834821127475,1.923416021027039,0.6527177192751049,0.4834849713892299,0.11700523250426871,0.8489281858177185,0.1827135581105052,1.8722678367037546,0.6462328135166312,0.5202630305488951,0.10171207808034394,0.1424869894981384,0.0017365516504771728,0.16930657728523768,0.022442510129637466,1000.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.15,2,0.012,0.06,1.5,0.5124198048623752,0.1270815584731392,1.3817001751946207,0.23639590777514496,0.40066611147484593,0.04557847758134006,0.5877358867402165,0.10167715736085454,1.7175564471101459,0.388965653334585,0.4540504083268667,0.06063129021312945,0.33267474174499506,0.003486003161660642,0.18450752604964468,0.02935766846781622,1000.0,0.0
parkinsons,clean,erm_clean_path,erm,0.15,4,0.005,0.0,,0.5619090939240505,0.13682586505818883,1.9411494748905178,0.03817797178961588,0.4202797268456945,0.09186197404147899,0.6888205708303781,0.1690644995397966,2.026555047344519,0.145842533243382,0.4699771835621505,0.09623381338307453,0.24859857559204102,0.012963927800731247,0.10440967031112032,0.0046121932376955955,1500.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.15,4,0.003,0.01,,0.5698774143814346,0.1573891217668047,1.388227209808257,0.33954691255745795,0.4521955487898639,0.09128562665368309,0.6317449821847587,0.08540323769643961,1.5351232083229167,0.3874067804724236,0.5062627665854598,0.08092577806984652,0.2039170861244201,0.001485514011218928,0.2520257707180953,0.04238556251620821,1500.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.15,4,0.012,0.06,1.5,0.41470471260653774,0.04880174182846743,1.1065997643207988,0.11957466852317042,0.38958153864708306,0.04533394091058826,0.4672933187051911,0.046093017262703186,1.4666057710649354,0.21861947652714575,0.42796863960703346,0.04818379263068484,0.6022821068763733,0.018364303177334753,0.1613369801360794,0.046549206622717894,1500.0,0.0
parkinsons,clean,erm_clean_path,erm,0.15,8,0.005,0.0,,0.566432064704501,0.14324368689854855,2.1209474043946095,0.03585112438381528,0.4233111000713076,0.09517145442893236,0.7020404564472995,0.19572352425182368,2.2310399806326404,0.1306872633007928,0.47427096302667665,0.10209219811564574,0.33052736520767206,0.01320270819311003,0.08465761681159228,0.0042941228515624786,2000.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.15,8,0.003,0.01,,0.541925676114657,0.14208262031324193,1.315515241091441,0.302344586844234,0.44382515103156184,0.08751372529375213,0.6126072724818274,0.08188303127295204,1.5080281614536908,0.3396163170656187,0.49909621365378043,0.076564422218636,0.32454448938369745,0.0035356239403944657,0.18619665291425513,0.02878790303200232,2000.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.15,8,0.012,0.06,1.5,0.41271769130550173,0.04769139688987902,1.1089211744056335,0.11603367009642591,0.3883983835850162,0.04879125360981604,0.460375739933373,0.05304563025907418,1.4676732687985516,0.21511396127365254,0.4233813230033502,0.04703928983514026,1.0852583050727844,0.01623639613948024,0.15549878619291344,0.020311046470766383,2000.0,0.0
parkinsons,clean,erm_clean_path,erm,0.15,16,0.005,0.0,,0.5764320760133039,0.14510313664801058,2.2709493867566857,0.06199181238801178,0.4289570864187752,0.09945077087771342,0.7163704607403237,0.2214330829122419,2.40844259729872,0.15422331832553157,0.4823971980655787,0.10901261941020361,0.4129965901374817,0.01270752335049954,0.0713710897420403,0.004085674842540508,2500.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.15,16,0.003,0.01,,0.5222619285517295,0.1357521277733342,1.2840780228098123,0.2826798474995346,0.4388462082162075,0.08685088939707783,0.593023713977481,0.08566426403286342,1.4756112511807677,0.32433258740153054,0.4942148602086979,0.07381095058462499,0.5707030892372131,0.008879924841210678,0.18674411816182682,0.022801365146078754,2500.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.15,16,0.012,0.06,1.5,0.41182531860666727,0.04713674440434327,1.1154196331929809,0.12114229897682895,0.3877710810131427,0.0494977918495567,0.4545475634018336,0.05732450090915185,1.465648097368294,0.21901046380458236,0.419852185566998,0.04744153999384282,2.084827959537506,0.04923863863474449,0.16817620612870351,0.054457686549065826,2500.0,0.0
parkinsons,clean,erm_clean_path,erm,0.15,64,0.005,0.0,,0.5868784601572411,0.14890769268738954,2.3927754570793334,0.09204256713124506,0.435603139108642,0.10399710275956275,0.7306210083520862,0.2459586578909103,2.5557055681561245,0.18865723499884246,0.4919592900661028,0.11626874410448969,0.4955857992172241,0.012299050078226327,0.06182596265159315,0.0039097509156717745,3000.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.15,64,0.003,0.01,,0.507880577806952,0.12984809430358124,1.2534343312220166,0.27639701488691604,0.43785917745415226,0.08661703103506772,0.5793133155809822,0.0952519571208012,1.4460985942482185,0.3061426810016251,0.491689174722852,0.07223522274302371,2.024520695209503,0.017019209034329855,0.24584856142909717,0.10179844337140972,3000.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.15,64,0.012,0.06,1.5,0.41158992231824426,0.048088577589814295,1.1143010541277525,0.10579950301935209,0.3873964929686388,0.05073054533038833,0.4507446086554287,0.06029681953910577,1.4578668640445054,0.20734315917612328,0.4180571982932375,0.047657464168038906,8.259346008300781,0.09193263586339559,0.16143073745653191,0.0505548711843043,3000.0,0.0
parkinsons,clean,erm_clean_path,erm,0.15,256,0.005,0.0,,0.599504432787883,0.15358710894895566,2.4956018258768244,0.12198610527498037,0.4425647917662584,0.10851903889926945,0.7453915421084697,0.2679014366894669,2.6839405735925297,0.2293644494635833,0.5019050202848638,0.12351702715163164,0.5778265595436096,0.012011923729786338,0.05463967810370213,0.0037458376547966584,3500.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.15,256,0.003,0.01,,0.49391594041287035,0.11706522234943281,1.2235489257935805,0.23820239663117218,0.4360706697740277,0.08483943264873693,0.5666245881395755,0.09184789298428926,1.4174110420345871,0.26537798853125333,0.48967716329931715,0.07086169484053174,8.196647822856903,0.08582320512679262,0.25399194009225384,0.06467398005998194,3500.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.15,256,0.012,0.06,1.5,0.40841571574619884,0.04842862830719253,1.1065899693035905,0.11769985739120077,0.3862004242148991,0.05153240227276866,0.4448255179977278,0.05737250055884489,1.4412876828785208,0.1912649037543216,0.41579883055597683,0.04766477873037379,35.18950289487839,1.1975531987052968,0.18845974299127133,0.034654145793165586,3500.0,0.0
parkinsons,clean,erm_clean_path,erm,0.25,1,0.005,0.0,,0.7278836238893839,0.1334065628323856,1.734879414525045,0.2427401084587723,0.4491843214488317,0.0967541767039801,0.861062839452204,0.13183707547712084,1.8131622327176926,0.19504770647182876,0.5074175913617516,0.09431811077987381,0.08298432826995848,0.011452203049181937,0.19901033940883417,0.0075029440828126275,500.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.25,1,0.003,0.001,,1.263022993158254,0.2745420595038506,2.803708717827566,0.43455732774601136,0.5162706874959967,0.14432071666527913,1.4841687485318753,0.3175522424182387,2.766434318157863,0.4498570919885634,0.5805141374457458,0.11098276763862559,0.11216741800308222,0.0016979912917644468,0.21057297961848753,0.018057324081014937,500.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.25,1,0.012,0.04,1.5,1.2838646690946693,0.20462971008098368,2.987299921397959,0.27810464972601,0.4886562548048492,0.112349924491168,1.559066418443657,0.3571193859111312,3.0994240812911524,0.5228478308473008,0.6043390854803216,0.1441644773295679,0.20625400543212888,0.0033758585310347134,0.13299455501902546,0.013850300392652044,500.0,0.0
parkinsons,clean,erm_clean_path,erm,0.25,2,0.005,0.0,,0.741489062961175,0.13591963980632096,2.1727641839847283,0.11953064177289599,0.4241769632096403,0.09127559926245438,0.9055517690146861,0.183841007383342,2.2396275908055143,0.10497335770921412,0.4754689265373762,0.09297652671089078,0.16617500782012934,0.01231090947192957,0.13680327553186075,0.005308310362755938,1000.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.25,2,0.003,0.001,,1.255758270535512,0.6176338830679876,2.8857478389579634,1.1720245825978213,0.5198679718596451,0.14945014223722922,1.3002695906845665,0.40341243955120604,2.7581958062276284,1.1561989838241946,0.5586805932765706,0.1344342444358556,0.14340883493423462,0.002631647826924868,0.16958489600970253,0.028810816563966713,1000.0,0.0
